Chromosome	Start	End	Value	nbProbes
1	754192	7865487	-0.013	620
1	7879130	10768022	-0.75	226
1	10787538	12295208	0.047	208
1	12342599	12867067	-0.774	34
1	12903548	12922420	-3.636	5
1	13181849	73400547	-0.761	4934
1	73417564	249212898	-0.021	11773
2	21494	34689455	-0.005	2760
2	34701638	34725225	-3.782	3
2	34741001	243052351	-0.021	15339
3	63411	197852584	-0.025	15037
4	69404	190915670	0.002	13387
5	38139	180698332	-0.024	12360
6	204909	170913071	-0.013	12704
7	41421	159118463	-0.031	11975
8	172417	39254394	0.001	3503
8	39274995	39383020	-3.29	8
8	39397015	90922124	0.023	3585
8	90930168	90931354	-3.952	2
8	90939625	146292754	-0.022	4851
9	204738	84495628	-0.006	4176
9	84510772	84528243	-3.474	3
9	84531447	138756392	0.022	4127
9	138765791	140159702	-0.269	130
9	140164376	141054781	0.088	95
10	126070	135434323	0.003	9695
11	192764	134938867	-0.065	9947
12	189400	133818135	-0.003	10345
13	19084823	115103170	-0.006	7934
14	20219083	107282044	0.017	6756
15	20161372	34671081	0.09	743
15	34729987	34808793	-4.31	6
15	34870223	39887868	-0.018	387
15	39896067	102397337	-0.786	4876
16	83887	90158025	0.025	5834
17	400959	981259	-0.839	39
17	1002846	3838646	-0.014	248
17	3852055	7978771	-0.761	388
17	7988844	80263447	0.013	5738
18	12842	9192328	0.023	683
18	9202855	9506532	-0.641	21
18	9522808	10540452	0.027	67
18	10557670	10708521	0.451	12
18	10728047	11336750	0.016	41
18	11356122	11949318	-0.777	39
18	11972439	26866649	-0.124	851
18	26901316	33676127	-0.699	486
18	33686203	42736888	0.022	615
18	42751755	44529623	-0.739	125
18	44536304	45776905	0.021	87
18	45790019	50778757	-0.735	525
18	50791960	65231579	0.02	1167
18	65248907	69453164	-0.677	300
18	69472330	78007804	0.039	576
19	247232	5188900	-0.058	482
19	5205718	9419147	-0.78	395
19	9434872	12125365	-0.069	242
19	12137020	12589746	-0.8	31
19	12605955	13096305	-0.206	46
19	13103638	14120089	-0.779	106
19	14138212	14475793	-0.246	24
19	14494473	15235952	-0.742	50
19	15244095	15397180	-0.273	32
19	15403778	59093259	0.039	3427
20	69094	62912483	0.004	5091
21	9648315	48097630	0.005	2349
22	16054713	51213846	0.025	2796
