SegmentID	Chromosome	StartPosition	StopPosition	MarkerCount	Type	State	Median Log2 Ratio	Median BAF	% Aberr. Cells	TuScan Ploidy	FileName
53	1	754192	145115883	9751	TotalCN	1	-0.54	0.215	70	2	14-CJ.OSCHP
54	1	145117984	249212878	8049	TotalCN	2	-0.018	0.482	70	2	14-CJ.OSCHP
55	2	21494	243052331	18102	TotalCN	2	0.003	0.483	70	2	14-CJ.OSCHP
56	3	63411	69103000	5430	TotalCN	2	0.015	0.483	70	2	14-CJ.OSCHP
57	3	69118107	69406469	20	TotalCN	3	0.196	NaN	70	2	14-CJ.OSCHP
58	3	69430007	197852564	9587	TotalCN	2	0.006	0.483	70	2	14-CJ.OSCHP
59	4	69404	49092454	3320	TotalCN	2	0.025	0.482	70	2	14-CJ.OSCHP
60	4	52684891	190915650	10067	TotalCN	1	-0.517	0.222	70	2	14-CJ.OSCHP
61	5	38139	180698312	12360	TotalCN	2	-0.001	0.482	70	2	14-CJ.OSCHP
62	6	204909	18099594	1290	TotalCN	2	0.012	0.481	70	2	14-CJ.OSCHP
63	6	18102308	18147006	19	TotalCN	1	-0.278	NaN	70	2	14-CJ.OSCHP
64	6	18149916	170913051	11395	TotalCN	2	0.001	0.483	70	2	14-CJ.OSCHP
65	7	41421	159118443	11975	TotalCN	2	-0.006	0.481	70	2	14-CJ.OSCHP
66	8	172417	146292734	11949	TotalCN	2	0.003	0.482	70	2	14-CJ.OSCHP
67	9	204738	140107336	8417	TotalCN	2	0.002	0.483	70	2	14-CJ.OSCHP
68	9	140111714	140175916	25	TotalCN	1	-0.341	NaN	70	2	14-CJ.OSCHP
69	9	140177465	141054761	89	TotalCN	2	-0.01	NaN	70	2	14-CJ.OSCHP
70	10	126070	61560818	4066	TotalCN	2	-0.004	0.483	70	2	14-CJ.OSCHP
71	10	61566000	61668567	21	TotalCN	1	-0.231	NaN	70	2	14-CJ.OSCHP
72	10	61673014	135434303	5608	TotalCN	2	0.012	0.482	70	2	14-CJ.OSCHP
73	11	192764	134938847	9947	TotalCN	2	-0.018	0.48	70	2	14-CJ.OSCHP
74	12	189400	92373972	7291	TotalCN	2	-0.009	0.482	70	2	14-CJ.OSCHP
75	12	92384658	92550386	20	TotalCN	1	-0.239	NaN	70	2	14-CJ.OSCHP
76	12	92552464	133818115	3034	TotalCN	2	-0.016	0.483	70	2	14-CJ.OSCHP
77	13	19084823	115103150	7934	TotalCN	1	-0.532	0.218	70	2	14-CJ.OSCHP
78	14	20219083	107282024	6756	TotalCN	2	0.013	0.483	70	2	14-CJ.OSCHP
79	15	20161372	102397317	6012	TotalCN	1	-0.556	0.217	70	2	14-CJ.OSCHP
80	16	83887	32137965	2412	TotalCN	2	-0.007	0.483	70	2	14-CJ.OSCHP
81	16	32529165	34224384	24	TotalCN	3	0.39	NaN	70	2	14-CJ.OSCHP
82	16	34238188	89199651	3245	TotalCN	2	0.012	0.483	70	2	14-CJ.OSCHP
