Chromosome	Start	End	Value	nbProbes
1	754192	145118004	-1	9752
1	145205788	148544988	0	204
1	149044448	149674812	-2	15
1	149742045	249212898	0	7829
2	21494	243052351	0	18102
3	63411	26414103	0	2101
3	26436178	197852584	-1	12936
4	69404	190915670	0	13387
5	38139	180698332	0	12360
6	204909	170913071	0	12704
7	41421	159118463	0	11975
8	172417	90922124	0	7096
8	90930168	90931354	-2	2
8	90939625	146292754	0	4851
9	204738	141054781	0	8531
10	126070	135434323	0	9695
11	192764	50766382	-1	3637
11	51191702	134938867	0	6310
12	189400	133818135	0	10345
13	19084823	19617789	-1	34
13	19630156	41954477	0	1865
13	41969553	42389524	-1	29
13	42399540	48131865	0	437
13	48149769	52762689	-1	492
13	52772190	54028638	0	82
13	54034731	115103170	-1	4995
14	20219083	22534283	-1	237
14	22542032	26046197	0	293
14	26071631	107282044	-1	6226
15	20161372	102397337	0	6012
16	83887	90158025	0	5834
17	400959	80263447	0	6413
18	12842	78007804	0	5595
19	247232	59093259	0	4835
20	69094	33173847	0	2886
20	33186480	33197509	-2	2
20	33212055	62912483	0	2203
21	9648315	48097630	0	2349
22	16054713	17285969	0	23
22	17304246	48552183	-1	2598
22	48574496	51213846	0	175
