Chromosome	Start	End	Value	nbProbes
1	754192	249212898	-0.002	17800
2	21494	243052351	0.002	18102
3	63411	197852584	0.033	15037
4	69404	190915670	0.057	13387
5	38139	180698332	-0.013	12360
6	204909	170913071	0.02	12704
7	41421	159118463	-0.015	11975
8	172417	90922124	0.039	7096
8	90930168	90931354	-3.706	2
8	90939625	146292754	0.001	4851
9	204738	84495628	0.041	4176
9	84510772	84528243	-3.771	3
9	84531447	141054781	0.046	4352
10	126070	135434323	0.033	9695
11	192764	134938867	-0.046	9947
12	189400	133818135	0.01	10345
13	19084823	115103170	0.01	7934
14	20219083	106553848	-0.85	6622
14	106558733	106800437	0.044	46
14	106802083	107282044	-0.834	88
15	20161372	102397337	0.04	6012
16	83887	90158025	0.032	5834
17	400959	80263447	0.013	6413
18	12842	78007804	0.029	5595
19	247232	59093259	0.029	4835
20	69094	62912483	0.006	5091
21	9648315	48097630	0.056	2349
22	16054713	51213846	-0.806	2796
