Chromosome	Start	End	Value	nbProbes
chr1	754192	19942951	-0.285036745534198	1691
chr1	19948942	63811896	-0.312626728694768	3641
chr1	63812269	75118192	-0.320254827595521	806
chr1	75122624	96311816	-0.294768447952668	1584
chr1	96320072	108213000	-0.261525239235145	930
chr1	108227361	121350954	-0.286579663492911	1058
chr1	144009053	145118004	-0.244307315732643	39
chr1	145205788	193579354	0.0582561023571369	3797
chr1	193583192	249212898	0.0322147703912613	4249
chr2	21494	90245055	0.0568236866577487	6779
chr2	91866487	95429217	0.227976567410578	2
chr2	95431369	243052351	0.0700665045454696	11317
chr3	63411	26469835	0.0822711843712135	2104
chr3	26489077	72128904	-0.256853048411653	3884
chr3	72142251	76059519	-0.343855516443219	237
chr3	76084620	90473641	-0.295478709043228	1091
chr3	93517443	145250054	-0.31176719529945	3750
chr3	145253032	163622255	-0.305547968381786	1277
chr3	163639768	166403174	-0.186000277274048	185
chr3	166415522	197852584	-0.321780252120748	2504
chr4	69404	18773026	0.11832146775794	1197
chr4	18789372	49092474	0.0704887487424481	2122
chr4	52684891	190915670	0.103452863182839	10065
chr5	38139	46401291	0.0410538746510129	3235
chr5	49441966	68828392	0.0837946154030275	1385
chr5	70306678	102307612	0.0620894199889675	2137
chr5	102312538	180698332	0.0577165496872301	5597
chr6	204909	58770522	0.081035972344184	4493
chr6	61886393	170913071	0.0816285585509442	8208
chr7	41421	58025443	0.0586699666877555	4488
chr7	61064518	78176644	-0.0199279476072485	1081
chr7	78176756	159118463	0.032622573811251	6398
chr8	172417	7004167	0.0398982808726324	1044
chr8	8094763	43767554	0.0587820034732803	2821
chr8	46896972	109415146	0.0806834667208107	4576
chr8	109438913	114892605	0.0865612981891797	950
chr8	114908475	144929831	0.0354557058159559	2431
chr8	144946818	146292754	-0.0105995835349984	123
chr9	204738	39184085	0.0909839580215674	3216
chr9	44098813	68170441	0.0586126749743429	5
chr9	70984372	141054781	0.101963852118267	5304
chr10	126070	23506549	0.0805832377279539	1764
chr10	23509719	24238408	0.0673911993551424	49
chr10	24254203	39146696	0.0338661606943817	1024
chr10	42413322	135434323	0.0867280215374644	6854
chr11	192764	3362873	-0.376761353341379	262
chr11	3364872	13548682	-0.352506968008536	762
chr11	13571211	20043459	-0.361244485418069	479
chr11	20055663	42721065	-0.306396266560402	1571
chr11	42730635	49210758	-0.336992226922781	466
chr11	49243246	50766382	-0.381993519408279	95
chr11	51191702	51575971	-0.0487813340979661	26
chr11	54795357	134938867	0.0327678025807442	6283
chr12	189400	33150540	0.0690524545090787	2734
chr12	33165453	34828231	-0.0200691672013858	115
chr12	37902988	133818135	0.0639053350847826	7491
chr13	19084823	48114780	0.0611837994774642	2362
chr13	48120110	52609935	-0.262484619560682	483
chr13	52626643	52762689	-0.25331909482057	10
chr13	52772190	53927424	0.0671060028074578	75
chr13	53953693	79510698	-0.295035152722378	1736
chr13	79519224	91506645	-0.282468648252568	900
chr13	91511284	115103170	-0.308447594030354	2365
chr14	20219083	22530389	-0.345981541195002	236
chr14	22534263	23440424	0.00459928955930702	123
chr14	23459156	26017299	0.2023499305923	169
chr14	26028655	29714884	-0.280994001742694	244
chr14	29734439	29934897	0.164599464938605	16
chr14	29962752	30146612	0.23977917672904	14
chr14	30173445	30605435	-0.342018952001299	30
chr14	30615347	48340110	-0.258591149278863	1270
chr14	48341395	67608137	-0.299488377263137	1535
chr14	67608948	69799826	-0.335389976095917	284
chr14	69813370	77990322	-0.291932648789877	555
chr14	78010157	78842799	-0.374874618590299	57
chr14	78856784	101218261	-0.319269875634827	1596
chr14	101233246	107282044	-0.290093759955992	624
chr15	20161372	20212818	-0.0418143468742518	6
chr15	22752399	102397337	0.0717499932340505	6003
chr16	83887	31509836	0.0579931326182259	2368
chr16	31523801	35271745	-0.132552532146922	129
chr16	46461309	89446439	0.0512584403170973	3213
chr16	89452771	90158025	0.118223549233988	121
chr17	400959	22217903	0.0505902685117498	1740
chr17	25326941	80263447	0.0824922724576598	4670
chr18	12842	15377491	0.0333621077207843	1072
chr18	18554307	78007804	0.0602465906909884	4522
chr19	247232	24544340	0.0203361744595945	2120
chr19	27754573	59093259	0.0540073424329777	2713
chr20	69094	26309275	0.0600150015833326	2598
chr20	29519156	62912483	0.0904506613047775	2491
chr21	9648315	10964159	0.0970567003242828	8
chr21	14344537	48097630	0.0897621245109339	2339
chr22	16054713	17586491	0.0142343513753962	46
chr22	17603477	22759064	-0.294891439505974	513
chr22	22762651	39487615	-0.297221674465309	1307
chr22	39499763	40291159	-0.3680124144003	68
chr22	40299158	48590949	-0.287206483382583	688
chr22	48606311	51213846	0.117572773667369	172
