"probeID" "CHROMOSOME" "START_POS" "END_POS" "X1.RV" "X2.AD" "X3.ES" "X4.GM" "X5.LD" "X6.VJ" "X7.DG" "X8.MM" "X9.LA" "X10.CB" "X11.BG" "X12.BC" "X13.VT" "X14.CJ" "X15.GG" "X16.DD" "X17.VV" "X18.JA" "X19.BF" "X20.CJ" "X21.DC"
"1" "S-tag133716" 1 754192 754212 0.3717726 -0.8736541 -0.9663914 0.127772 -0.8006408 -0.9093184 0.2748134 -0.01035271 -0.9381132 0.04911146 0.3270448 0.04503704 -1.102627 -0.8159172 -0.7757227 -1.259889 0.1395621 -0.5851123 -0.1166009 -0.02737563 0.1885422
"101" "S-tag312652" 1 2090816 2090836 0.327656 -0.1376938 0.2808457 0.9573371 -0.1899307 0.2719385 0.2980818 0.9266558 0.3116444 0.5245423 0.9674067 0.1193796 -0.3280011 0.1812841 -0.7227674 -0.1460229 0.4753668 0.008538093 0.4310412 0.3654023 0.2071979
"201" "S-tag279581" 1 3147030 3147050 0.4396336 -0.166857 0.03300761 0.06146283 -0.2528521 0.003641281 0.3524961 0.3829461 -0.4871714 -0.1604113 0.02609821 0.1816036 0.07948399 0.0002061763 0.02430802 -0.2235744 0.431183 0.2212666 -0.3297293 -0.4907611 0.3316208
"301" "S-tag146085" 1 3737540 3737560 0.4343051 -0.2238813 -0.7455595 -0.04268744 -0.1237359 -0.2574228 0.2765822 0.6092535 -0.327003 -0.3478708 0.5849111 0.5314661 -0.5680067 -0.1751948 -0.3568377 -0.8199403 0.1939564 0.09900042 -0.02765732 -0.5851677 0.08669338
"401" "S-tag249302" 1 4888012 4888032 0.01627678 -0.3714558 -0.959912 -0.661271 -0.5423928 -0.7655632 -0.09674727 0.006597563 -1.060646 -0.4068623 -0.464505 -0.3797946 -0.9011701 -0.5021901 -0.7261637 -1.296821 -0.7525406 -0.5966246 -0.1755888 -0.8245453 -0.1260611
"501" "S-tag031273" 1 6248784 6248804 -0.07198639 -0.5858842 -0.5339497 -0.3718621 -0.479946 -0.5399354 0.04617278 0.2292227 -0.4282361 -0.1949033 0.3220486 0.1991313 -0.2413274 -0.6393863 -0.302674 -0.5524366 0.003595105 0.02149113 -0.1906177 -0.3422949 0.2060144
"601" "S-tag160227" 1 7571996 7572016 0.317701 -0.4180886 -0.5029052 -0.06051407 -0.5432533 -0.2276241 0.2881818 0.3671911 -0.2358277 -0.4076429 0.3692856 0.2808473 -0.0957273 -0.2327013 -0.08723959 -0.2910168 0.6840562 -0.2456327 -0.1513557 -0.03395849 0.1520086
"701" "S-tag243765" 1 9069001 9069021 0.04569709 -0.6111765 -0.497586 -0.5554591 -0.3313257 -0.2520753 -0.02185916 -0.03101982 -0.5550524 -0.6471008 -0.1087682 -0.3413023 -0.4934981 -0.3990613 -0.1977434 -0.5159798 0.127955 -0.3199193 -0.2487983 -0.5850328 0.04318063
"801" "S-tag093307" 1 10098028 10098048 0.2021178 -0.6532338 -0.3254013 -0.2563613 -0.5622566 -0.4416959 0.1132055 0.2768939 -0.6431169 -0.527644 0.1152516 -0.3672828 -0.6068677 -0.4152926 -0.2815449 -0.6410626 -0.15384 -0.2881663 -0.1318508 -0.4418765 0.053313
"901" "S-tag264523" 1 11232225 11232245 0.2313055 -0.2371856 -0.3518386 -0.189692 -0.1593655 -0.1037271 0.1780535 0.0886481 -0.6569948 -0.163721 0.380345 0.3390721 -0.4145963 -0.2446483 0.09146722 -0.3338921 0.4694861 -0.07710321 -0.2182967 -0.3942237 0.07490447
"1001" "S-tag185456" 1 11847861 11847881 -0.560338 -0.7525338 -0.5631618 -0.3501367 -0.2008203 -0.4571728 -0.04703324 0.01148052 -0.658778 -0.7930738 -0.08472189 -0.1729088 -1.110219 -0.7694719 -0.5298982 -1.356257 -0.7659801 -0.1045482 -0.2833775 -0.3760469 0.1888781
"1101" "S-tag150094" 1 13825195 13825215 -0.02697975 -0.8468228 -1.017244 -1.201457 -0.3362307 -1.08469 0.003183624 0.06968302 -0.5869247 -0.6143185 0.272918 -0.3134619 -0.9140412 -0.4355354 -0.2028035 -0.734548 0.1018883 -0.3321886 -0.5056943 -0.5484455 0.08250094
"1201" "S-tag136612" 1 15264699 15264719 0.3317555 -0.4760391 -0.219863 0.7748749 -0.2034236 -0.0212385 0.163296 0.7800006 -0.1041299 0.2360278 0.6604056 0.2775831 -0.3142861 0.3153573 -0.5030592 -0.3662409 0.1456869 0.2355637 0.08623978 0.2361659 0.1589373
"1301" "S-tag153983" 1 16448442 16448462 0.1352934 -0.5983911 -0.7077069 -0.61628 -0.6153455 -0.4190888 -0.005460489 -0.1086038 -0.6548179 -0.6477975 0.144251 -0.7343689 -0.4540813 -0.5655115 -0.5094603 -0.7502685 0.3918329 -0.1650013 -0.2610174 -1.057084 0.07740445
"1401" "S-tag057349" 1 17647986 17648006 -0.03942119 -0.5314333 -0.4491492 -0.4454076 -0.4423493 -0.4588037 0.2482297 -0.131901 -0.6074055 -0.4138959 0.1695943 -0.3134826 -0.7877481 -0.5566926 -0.3734612 -0.882847 0.2054139 -0.3499684 -0.194433 -0.08251213 0.1259695
"1501" "S-tag285762" 1 17945813 17945833 -0.008517887 -0.4918148 -0.3446302 -0.1129843 -0.5683054 -0.4012694 0.04369744 0.08521119 -0.6105561 -0.6243346 0.2006185 -0.3669943 -0.247926 -0.2334915 -0.3295316 -0.3199112 0.2269119 -0.06631962 -0.08652401 -0.3469845 -0.08824751
"1601" "S-tag283741" 1 18910590 18910610 -0.1309113 -0.4428991 -0.3113726 -1.076231 -0.6422114 -0.9020118 -0.2090649 -0.1874399 -0.5018724 -0.8523824 -0.2395505 -0.6581156 -0.399022 -0.3859988 -0.2021255 -0.3725429 -0.583542 -0.5065491 -0.2861478 -1.181485 -0.1959849
"1701" "S-tag071359" 1 19989666 19989686 -0.005108384 -0.6352883 -0.3596116 -0.508067 -0.30212 -0.1223799 0.1101515 0.336383 -0.2912689 -0.2370863 0.469792 -0.3775872 -0.2409696 -0.2256672 -0.05429114 -0.5810668 0.1183836 0.1958998 -0.06954794 -0.4180377 0.3141712
"1801" "S-tag228195" 1 21421813 21421833 0.006233299 -0.939198 -0.4657864 -0.6113464 -0.7128141 -0.5201038 -0.001323329 -0.06454884 -0.9743803 -0.8914096 -0.1714035 -0.5066364 -1.010235 -0.8218694 -0.5260451 -0.4163592 -0.3183657 -0.7291358 -0.6759233 -1.131594 -0.1845451
"1901" "S-tag068249" 1 22826564 22826584 -0.1324513 -0.6342034 -0.6895753 -0.8334989 -0.5095888 -0.6448206 0.08715022 -0.5581202 -0.8516956 -0.7152361 -0.2041662 -0.6036928 -1.435574 -0.7708036 -0.3137013 -0.7467467 -1.131629 -1.151246 -0.5084192 -0.3320194 -0.4659024
"2001" "S-tag207842" 1 23849346 23849366 -0.01949794 -0.6696683 -0.8541629 -0.4215128 -0.6781778 -0.4320796 0.02951436 0.05389253 -0.9620817 -0.7717794 0.04128643 -0.5677401 -1.234383 -0.6402454 -0.4987213 -0.6690573 0.1633103 -0.4938822 -0.441448 -0.7447802 -0.03727809
"2101" "S-tag190359" 1 25188940 25188960 -0.2147061 -0.663824 -0.8742181 -0.8517437 -0.7608537 -0.8690534 0.1563795 -0.3528831 -0.876076 -1.47461 -0.3190349 -0.7435313 -0.7180206 -0.7741504 -0.3118854 -0.377615 -0.2651112 -0.2567449 -0.237421 -0.814208 -0.06512655
"2201" "S-tag043205" 1 26403098 26403118 -0.3719293 -0.5036365 -0.8513398 -0.3906872 -0.7719294 -0.5366589 -0.285542 -0.1962023 -1.189142 -1.213688 -0.4356738 -1.168333 -1.187293 -0.6883941 -0.4001014 -1.445067 -0.2082659 -0.8095192 -0.1630637 -0.9202594 -0.4304167
"2301" "S-tag192958" 1 27445285 27445305 0.121032 -0.5200639 -0.7383043 -0.3753406 -0.4076571 -0.9402948 0.08765268 0.2946667 -0.8339962 -1.00102 0.1735189 -1.116287 -0.7635561 -0.8624351 -0.8179494 -0.6259784 0.1126651 -0.3458429 -0.02806788 -0.6863688 0.2376996
"2401" "S-tag158517" 1 28452889 28452909 -0.8239958 -1.110188 -1.644165 -0.9480761 -1.29403 -1.288783 -0.1785359 0.0545904 -0.8256696 -1.503482 0.1343411 -1.494523 -1.104864 -0.9446487 -0.4552128 -1.426374 -0.4003995 -0.7894058 -0.3981692 -0.6366443 -0.4158145
"2501" "S-tag023904" 1 29632600 29632620 0.3854143 -0.3933972 -0.3998172 -0.1610199 -0.4571689 -0.1590693 0.3379271 0.4995474 -0.2624768 -0.3152041 0.2885576 -0.2577708 -0.5514565 -0.1490736 0.005654424 -0.2313096 0.2046542 -0.3407842 0.01917092 -0.1220546 0.4005921
"2601" "S-tag245796" 1 31214820 31214840 0.04545715 -0.4898974 -0.4713011 -0.5506937 -0.7836811 -0.4376081 0.1067368 0.0842626 -0.3597921 -0.6378241 -0.2409073 -0.9577272 -0.5998058 -0.5601783 -0.7680903 -0.4845558 -0.2066601 -0.1603275 -0.1259175 -0.8111097 -0.09169018
"2701" "S-tag244093" 1 32356815 32356835 -0.3037613 -0.6950685 -0.7095598 -0.645706 -0.8349264 -1.042224 -0.2999007 0.1290575 -0.6782795 -0.5558919 -0.08307701 -0.7386736 -0.6118153 -0.416994 -0.86691 -0.9172735 -0.3479593 -0.238128 -0.2754456 -0.3505726 -0.2497363
"2801" "S-tag188108" 1 33560338 33560358 0.3594852 -0.4048868 -0.4361698 -0.06148689 -0.2372905 -0.2750958 0.2453343 0.3637941 -0.4019584 -0.3623661 0.3328775 -0.529373 -0.5529012 -0.1191105 -0.06523592 -0.4655052 -0.1602854 -0.1882663 -0.03489681 -0.5661909 0.1311353
"2901" "S-tag239916" 1 34958515 34958535 -0.2808113 -0.422682 -0.5802281 -0.3363009 -0.587723 -0.5322018 -0.3230781 -0.1368772 -1.117363 -0.5741979 0.04501337 -0.6750014 -1.01352 -0.5542082 -0.06401008 -0.4750046 0.3466125 -0.5855819 -0.275115 -0.9749848 -0.02479552
"3001" "S-tag044520" 1 36107510 36107530 -0.2831664 -0.3685186 -0.5338207 -0.2522001 -0.6500253 -0.6584657 -0.07951733 -0.0007485413 -0.514765 -0.7543864 0.09244622 -0.2868711 -0.2920485 -0.02744383 -0.2584883 -0.4109858 0.3711541 -0.3301138 -0.3906039 -0.7033194 0.1241269
"3101" "S-tag090437" 1 37146466 37146486 -0.5267885 -0.3630004 -0.8353249 -0.7247232 -0.7930509 -0.520866 -0.1090693 -0.4213553 -0.6205273 -0.6534374 -0.1447454 -0.7534428 -1.012884 -0.7770492 -0.6638564 -0.9440745 -0.9618591 -0.7306989 -0.6831367 -0.8474756 -0.3711658
"3201" "S-tag019310" 1 38533001 38533021 -0.1861195 -0.7353091 -0.7991215 -0.3267392 -0.6678612 -0.7487563 0.07069439 0.1101903 -0.680235 -0.6170468 0.09931706 -0.5947008 -0.6947606 -0.5022535 -0.5711261 -1.188355 -0.5868973 -0.2241792 -0.2261623 -0.4726024 -0.2258157
"3301" "S-tag287612" 1 39506141 39506161 -0.005331337 -0.3750189 -0.5492964 -0.5904515 -0.4984884 -0.6721649 0.1883223 0.3249339 -0.3192529 -0.4864089 0.1723139 -0.68534 -0.8346117 -0.5640405 -0.1186564 -0.8243008 -0.1317109 -0.2127263 -0.326499 -0.7686963 0.1737612
"3401" "S-tag217465" 1 40479274 40479294 -0.4144835 -0.6800845 -0.6664418 -0.4050928 -0.8752189 -0.5479202 -0.171362 0.07768001 -0.6823885 -0.6044002 0.3725109 -0.6744914 -0.6192138 -0.60116 -0.6018066 -1.114694 -0.4872168 -0.2728693 -0.1766609 -0.5831125 -0.1074009
"3501" "S-tag180825" 1 41840197 41840217 -0.9684828 -1.789675 -0.5073982 -0.2037014 -0.2273236 -0.2903206 -0.4492891 0.214662 -1.362107 -0.2096914 0.338419 -0.10663 -0.2761004 -0.3046982 -0.5852756 -0.4703967 -0.484935 -0.9364709 -1.293107 -0.9532732 0.07691906
"3601" "S-tag037497" 1 43239395 43239415 0.164587 -0.6211752 -0.4495448 -0.2185099 -0.4585382 -0.3248078 0.1878493 0.06924965 -0.6762537 -0.9453234 0.2125469 -0.2353858 -0.7454019 -0.4946662 -0.1455901 -0.1597602 0.01102423 -0.340217 -0.3901789 -0.2453183 0.07687502
"3701" "S-tag321907" 1 44102587 44102607 0.009697309 -0.5568163 -0.4300517 -0.02481632 -0.6733261 -0.2493522 0.1054802 0.4086715 -0.3911636 -0.4824739 0.3486592 -0.4460494 -0.178376 -0.2877157 -0.2247965 -0.5008918 -0.04034322 -0.06868892 -0.09408816 -0.3662598 0.1002249
"3801" "S-tag061728" 1 45321563 45321583 -0.2484542 -1.809735 -0.5046079 -0.2942485 -0.6487994 -0.6641846 0.01907427 0.332363 -0.4802849 -0.5490568 0.1496274 -0.5863795 -0.3761759 -0.5079259 -0.2804279 -0.6961534 -0.04148277 -0.1072975 -0.22642 -0.3727809 0.2998086
"3901" "S-tag145350" 1 46275648 46275668 -0.1072019 -0.7898872 -0.5379574 -0.2496746 -0.6995053 -0.3757732 0.004244847 0.183678 -0.6548067 -0.6364866 0.2301095 -0.5512729 -0.2390834 -0.7192882 -0.3462189 -0.396917 -0.01980393 -0.09763029 -0.6535875 -0.9175829 -0.008936213
"4001" "S-tag231114" 1 47176818 47176838 0.1451869 -0.8432029 -0.5870697 -0.7483999 -0.771931 -0.1439792 -0.03460331 -0.1680518 -0.9696895 -1.057984 -0.1165097 -1.494212 -1.129826 -0.7452663 -0.7736459 -1.005634 -0.882533 -0.7872573 -0.5381137 -1.185863 -0.4440585
"4101" "S-tag242624" 1 48227943 48227963 -0.2669718 -1.044062 -1.112736 -0.9685589 -0.8976269 -1.077495 0.008949515 -0.568629 -1.118286 -1.256006 -0.2357601 -1.203113 -0.8933489 -0.9336798 -0.757301 -1.130373 -0.57298 -0.5066939 -0.7267081 -0.9130536 -0.5807142
"4201" "S-tag175139" 1 49591523 49591543 -0.02648981 -0.7903229 -0.4751596 -0.6115388 -0.604835 0.003088855 0.03773028 -0.1788396 -1.07262 -0.9903789 -0.3594858 -0.8575515 -1.199575 -0.621604 -0.2084091 -0.663792 -0.2072021 -0.4965888 -0.4187834 -0.7370659 -0.1670759
"4301" "S-tag085315" 1 50972015 50972035 -0.1269496 -0.8835835 -1.018028 -0.417362 -0.7510617 -0.4465384 0.3286167 0.2126893 -0.9854323 -1.325535 0.09822717 -0.7474656 -1.136346 -0.8697523 -0.6533701 -0.6609479 -0.1644525 -0.5214109 -0.2330682 -0.9775844 -0.03057912
