Chromosome	Start	End	Value	nbProbes
1	754192	28027709	0.119	2372
1	28046034	249212898	-0.0326	15428
2	21494	243052351	-0.0326	18102
3	63411	197852584	-0.0326	15037
4	69404	190915670	1.37567425207608	13387
5	38139	180698332	1.2858	12360
6	204909	170913071	-0.0326	12704
7	41421	159118463	-0.0326	11975
8	172417	39313524	-0.0326	3507
8	39329000	39383020	-7.5318	4
8	39397015	146292754	-0.0326	8438
9	204738	141054781	-0.0326	8531
10	126070	14038799	0.119	1025
10	14060805	121151352	-0.0326	7646
10	121165616	135434323	0.307456140859035	1024
11	192764	134938867	-0.0326	9947
12	189400	118216595	1.2858	9239
12	118229731	133818135	1.4341	1106
13	19084823	40175408	1.2858	1734
13	40179085	49051788	0.956761603452209	869
13	49053080	98172528	0.763926165771402	3612
13	98183886	115103170	0.88970821244354	1719
14	20219083	106653120	-0.0326	6639
14	106657439	106729528	1.2858	15
14	106735842	107282044	-0.0326	102
15	20161372	23223134	-0.0326	42
15	23619912	23681224	-7.5318	8
15	23698008	102397337	-0.0326	5962
16	83887	90158025	1.4341	5834
17	400959	80263447	-0.0326	6413
18	12842	78007804	1.2858	5595
19	247232	59093259	0.119	4835
20	69094	62912483	1.4341	5091
21	9648315	48097630	-0.0326	2349
22	16054713	23253514	-0.0326	596
22	23255556	51213846	-0.541165494287706	2200
