Chromosome	Start	End	Value	nbProbes
chr1	754192	6853375	-0.193529687388782	550
chr1	6863342	7205970	0.0817820086503815	24
chr1	7220970	25288852	-0.219575890571484	1546
chr1	25295580	29411270	-0.28430291246314	363
chr1	29443675	33355943	-0.255010310066593	305
chr1	33381561	43557696	-0.212436090580358	837
chr1	43558937	115107489	-0.230008425960622	5572
chr1	115110683	115444970	-0.562584947361448	61
chr1	115467553	120918881	-0.202187245403614	432
chr1	121149549	121350954	0.232204303013563	20
chr1	144009053	146826740	-0.0821227520629155	131
chr1	146837449	156037222	0.033045446697073	690
chr1	156037357	158461438	0.0729785052076347	269
chr1	158463086	189266268	0.0303914374440132	2430
chr1	189292308	192138297	0.0554323863477915	199
chr1	192156326	249212898	0.0094666830727854	4366
chr2	21494	9719912	-0.154622038664247	670
chr2	9734278	12956349	-0.269992588681265	215
chr2	12957120	50468932	-0.210857225178334	3130
chr2	50475419	90245055	-0.21371144810694	2764
chr2	91866487	95429217	-0.0582909337527365	2
chr2	95431369	211740036	0.0443670437780877	8835
chr2	211750298	217071829	-0.00283623800707252	637
chr2	217110299	223550149	0.0947408395100521	468
chr2	223557529	231811256	0.0803750315390608	595
chr2	231826071	234062071	-0.0394479005134451	149
chr2	234081324	243052351	0.0988045678603002	633
chr3	63411	404678	-0.0720348812696652	50
chr3	408687	32601249	0.0576631686415566	2510
chr3	32615669	69590145	0.0994511141656574	2899
chr3	69600854	90473641	0.0432714484284828	1857
chr3	93517443	113284765	0.0210868625591894	1379
chr3	113288430	144850685	0.0592474993606302	2345
chr3	144871811	197852584	0.0378403020949786	3992
chr4	69404	17205640	0.114351971619331	1094
chr4	17223515	49092474	0.0361474773631365	2225
chr4	52684891	187346867	0.0638902664589101	9788
chr4	187361302	190915670	0.142881436285411	277
chr5	38139	14245381	0.0916223168705089	989
chr5	14265371	46401291	0.0180786477589427	2246
chr5	49441966	68828392	0.0231126803964697	1385
chr5	70306678	180698332	0.04660907570612	7734
chr6	204909	58770522	0.0488129570859675	4493
chr6	61886393	170913071	0.0557343089821665	8208
chr7	41421	2856463	-0.0315087113720644	252
chr7	2867296	58025443	0.058054722394835	4236
chr7	61064518	147128924	0.0217830580085699	6549
chr7	147148456	147854787	-0.0921435803119606	50
chr7	147870422	159118463	0.0344673650049889	880
chr8	172417	7004167	0.0807742704485419	1044
chr8	8094763	11527930	0.125754469742786	241
chr8	11542996	43767554	0.0382349181534366	2580
chr8	46896972	49290593	0.0332320411737816	228
chr8	49312284	146292754	0.0455606435770987	7852
chr9	204738	39184085	0.0567368617427295	3216
chr9	44098813	44893114	0.226313774713334	4
chr9	68170421	70984392	-0.0512754874595108	2
chr9	70990396	141054781	0.0706121338407338	5303
chr10	126070	2108202	0.153568910156933	198
chr10	2120407	39146696	0.0339971565526509	2639
chr10	42413322	99652948	0.0603833429747355	4297
chr10	99667646	100712981	0.117578366663923	70
chr10	100727706	106771912	0.0653924824490049	485
chr10	106783551	107874009	0.14588286253959	75
chr10	107888334	135434323	0.107057542203625	1927
chr11	192764	51575971	-0.244534886407259	3661
chr11	54795357	63647544	-0.24949484703252	605
chr11	63655122	65705128	-0.31368010152133	198
chr11	65730217	83548668	-0.233394733799724	1453
chr11	83562296	84958445	-0.18092453302618	94
chr11	84975539	95713335	-0.237169594678971	772
chr11	95718000	97470213	-0.274203324042764	153
chr11	97474775	134938867	-0.209035843829956	3008
chr12	189400	34828231	0.0352693764742798	2849
chr12	37902988	133818135	0.0432525317079361	7491
chr13	19084823	67514786	-0.232700826175545	3849
chr13	67519121	93549361	-0.239263128363856	1916
chr13	93556244	102332091	-0.236279359010279	842
chr13	102348516	106210015	-0.202830011302966	404
chr13	106223907	115103170	-0.204551808691027	920
chr14	20219083	20400600	0.417567763483151	10
chr14	20425220	23698068	-0.295444226864488	366
chr14	23706738	26288607	-0.132327173325311	170
chr14	26307816	68892031	-0.207662600180335	3285
chr14	68893299	69271804	-0.300504516997256	55
chr14	69286152	74894983	-0.22531014266873	370
chr14	74910257	75774366	-0.292109588100731	72
chr14	75784428	95011933	-0.234041137895696	1331
chr14	95016836	103381902	-0.170286799248342	627
chr14	103392839	105856398	-0.324021541918349	224
chr14	105866638	107282044	-0.191863359418098	243
chr15	20161372	20212818	-0.29726883508594	6
chr15	22752399	38136501	-0.196120764109679	990
chr15	38152318	53679141	-0.233118004566744	1189
chr15	53691413	82432735	-0.232297274489852	2197
chr15	82450268	102397337	-0.217357985133225	1627
chr16	83887	35271745	0.0367333974932317	2497
chr16	46461309	90158025	0.0409939540161703	3334
chr17	400959	22217903	0.0247661262379843	1740
chr17	25326941	47514059	0.00226320992408439	1951
chr17	47534574	80263447	0.058340236476495	2719
chr18	12842	15377491	0.0417068821468891	1072
chr18	18554307	78007804	0.0567307558601107	4522
chr19	247232	24544340	0.0245917788774107	2120
chr19	27754573	59093259	0.0436850643008391	2713
chr20	69094	15991922	0.0316864927198674	1905
chr20	15995358	26309275	0.119261392026749	693
chr20	29519156	62912483	0.0797376991774883	2491
chr21	9648315	10964159	-0.0835633464732723	8
chr21	14344537	48097630	0.0814349105892418	2339
chr22	16054713	45161760	-0.220984367991927	2347
chr22	45164631	45265258	-0.254904277391242	21
chr22	45277664	51213846	-0.165261684503285	426
